,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,51.0,No,Travel_Rarely,964.0,Sales,19.0,3,Life Sciences,1,1,Male,53.0,2,4,Healthcare Representative,4,Divorced,13318.0,11122.0,8,Y,No,15.0,3,3,80,1,15.0,3,3,2.0,1.0,0.0,0.0
1,31.0,No,Non-Travel,1087.0,Research & Development,12.0,3,Marketing,1,4,Male,82.0,3,1,Healthcare Representative,1,Married,6298.0,15229.0,2,Y,No,15.0,3,2,80,2,2.0,3,3,3.0,2.0,0.0,3.0
2,21.0,No,Travel_Rarely,904.0,Sales,3.0,4,Life Sciences,1,2,Female,93.0,3,2,Sales Executive,4,Married,10028.0,12907.0,1,Y,Yes,17.0,3,2,80,1,7.0,1,3,8.0,6.0,6.0,3.0
3,29.0,No,Travel_Rarely,391.0,Sales,2.0,4,Life Sciences,1,4,Male,64.0,3,1,Manufacturing Director,3,Single,3161.0,9747.0,9,Y,No,15.0,3,3,80,1,4.0,5,3,1.0,2.0,0.0,1.0
4,31.0,No,Travel_Rarely,520.0,Human Resources,3.0,3,Life Sciences,1,4,Male,62.0,3,1,Laboratory Technician,2,Married,3104.0,14439.0,1,Y,No,14.0,3,2,80,0,6.0,3,3,4.0,1.0,2.0,5.0
5,41.0,Yes,Travel_Rarely,996.0,Research & Development,9.0,2,Life Sciences,1,2,Female,96.0,3,2,Research Scientist,2,Married,4709.0,15005.0,8,Y,No,14.0,3,3,80,1,11.0,3,1,1.0,2.0,1.0,3.0
6,33.0,No,Travel_Rarely,629.0,Research & Development,7.0,2,Life Sciences,1,3,Female,67.0,3,2,Research Scientist,4,Married,6236.0,19379.0,3,Y,No,13.0,3,1,80,1,13.0,2,3,8.0,7.0,8.0,5.0
7,51.0,No,Travel_Rarely,774.0,Research & Development,14.0,3,Technical Degree,1,4,Male,88.0,3,4,Manager,4,Divorced,12200.0,18170.0,1,Y,Yes,15.0,4,2,80,0,15.0,2,3,6.0,2.0,0.0,5.0
8,30.0,No,Travel_Rarely,400.0,Research & Development,3.0,4,Medical,1,4,Male,41.0,2,2,Research Scientist,4,Single,5158.0,7575.0,1,Y,No,12.0,3,2,80,0,9.0,3,3,6.0,11.0,6.0,0.0
9,47.0,No,Travel_Rarely,775.0,Sales,11.0,3,Marketing,1,1,Female,95.0,2,2,Sales Executive,2,Divorced,8125.0,10616.0,7,Y,Yes,17.0,3,3,80,2,21.0,3,2,10.0,5.0,3.0,7.0
10,24.0,No,Travel_Frequently,1091.0,Research & Development,12.0,2,Life Sciences,1,1,Male,66.0,3,2,Healthcare Representative,4,Divorced,5000.0,25704.0,3,Y,Yes,15.0,3,4,80,1,3.0,2,3,4.0,1.0,1.0,2.0
11,39.0,No,Travel_Frequently,149.0,Research & Development,4.0,3,Marketing,1,3,Male,88.0,3,2,Sales Executive,1,Married,1895.0,14221.0,0,Y,No,12.0,3,3,80,0,7.0,4,3,9.0,5.0,3.0,5.0
12,37.0,No,Travel_Rarely,930.0,Research & Development,8.0,5,Life Sciences,1,2,Male,62.0,3,3,Research Scientist,2,Married,8477.0,9782.0,5,Y,No,18.0,3,3,80,3,6.0,3,2,11.0,4.0,6.0,3.0
13,39.0,No,Travel_Rarely,1171.0,Research & Development,11.0,2,Medical,1,4,Male,57.0,2,4,Research Director,2,Married,8173.0,18449.0,4,Y,No,14.0,3,3,80,1,21.0,1,4,9.0,11.0,3.0,2.0
14,29.0,No,Travel_Rarely,367.0,Research & Development,4.0,3,Medical,1,1,Female,73.0,2,1,Research Scientist,4,Single,4371.0,14682.0,1,Y,Yes,16.0,3,3,80,0,8.0,4,2,4.0,3.0,0.0,0.0
15,50.0,No,Travel_Rarely,1458.0,Sales,23.0,3,Technical Degree,1,4,Male,70.0,3,2,Sales Executive,4,Divorced,6403.0,19565.0,1,Y,No,15.0,3,1,80,0,12.0,3,1,3.0,7.0,2.0,2.0
16,28.0,No,Travel_Rarely,1038.0,Sales,9.0,2,Life Sciences,1,2,Female,49.0,3,3,Laboratory Technician,4,Divorced,3757.0,25880.0,1,Y,No,17.0,3,4,80,0,1.0,3,1,12.0,3.0,2.0,7.0
17,27.0,No,Travel_Frequently,1001.0,Research & Development,20.0,4,Medical,1,2,Male,86.0,2,1,Sales Executive,2,Single,6788.0,4765.0,1,Y,No,21.0,3,3,80,2,7.0,5,2,6.0,2.0,0.0,4.0
18,32.0,No,Travel_Rarely,763.0,Sales,15.0,3,Medical,1,3,Female,77.0,2,2,Sales Executive,1,Single,4904.0,23747.0,1,Y,No,16.0,3,2,80,1,15.0,3,3,14.0,8.0,4.0,8.0
19,33.0,No,Travel_Rarely,936.0,Sales,6.0,2,Medical,1,4,Female,63.0,3,2,Healthcare Representative,1,Married,6172.0,20051.0,1,Y,No,17.0,3,1,80,0,11.0,6,4,5.0,7.0,2.0,5.0
20,50.0,No,Travel_Frequently,634.0,Research & Development,5.0,4,Technical Degree,1,4,Male,52.0,2,2,Laboratory Technician,3,Married,3390.0,15202.0,1,Y,Yes,15.0,3,3,80,0,2.0,3,4,1.0,2.0,0.0,1.0
21,40.0,No,Travel_Rarely,270.0,Research & Development,5.0,2,Marketing,1,3,Female,45.0,4,3,Sales Executive,1,Married,3189.0,24466.0,4,Y,Yes,23.0,4,1,80,1,13.0,2,2,9.0,10.0,1.0,1.0
22,31.0,No,Travel_Rarely,368.0,Research & Development,12.0,4,Medical,1,4,Male,56.0,3,1,Laboratory Technician,2,Divorced,2922.0,6771.0,1,Y,Yes,12.0,3,2,80,1,3.0,3,3,2.0,2.0,0.0,3.0
23,34.0,No,Travel_Rarely,1062.0,Research & Development,7.0,5,Life Sciences,1,3,Female,77.0,3,2,Sales Executive,4,Married,16130.0,7845.0,1,Y,Yes,13.0,3,1,80,1,13.0,2,3,9.0,9.0,0.0,9.0
24,42.0,Yes,Travel_Frequently,386.0,Research & Development,8.0,3,Life Sciences,1,1,Male,94.0,2,1,Human Resources,3,Married,4403.0,16085.0,1,Y,Yes,24.0,3,3,80,2,1.0,3,2,1.0,2.0,0.0,1.0
25,45.0,Yes,Travel_Rarely,904.0,Research & Development,4.0,4,Marketing,1,3,Male,62.0,3,2,Research Scientist,3,Single,3945.0,4776.0,6,Y,No,18.0,3,4,80,1,9.0,4,1,5.0,2.0,3.0,6.0
26,37.0,No,Travel_Rarely,411.0,Research & Development,6.0,3,Medical,1,3,Male,74.0,3,2,Manufacturing Director,1,Single,14585.0,22382.0,9,Y,No,15.0,3,3,80,2,15.0,2,3,12.0,9.0,4.0,13.0
27,21.0,Yes,Travel_Frequently,1334.0,Research & Development,21.0,3,Medical,1,1,Female,76.0,1,1,Sales Representative,4,Single,6132.0,19371.0,4,Y,Yes,19.0,3,3,80,3,3.0,2,3,1.0,0.0,0.0,0.0
28,32.0,No,Travel_Rarely,1226.0,Research & Development,6.0,2,Life Sciences,1,3,Male,82.0,3,3,Human Resources,2,Single,6081.0,12492.0,4,Y,Yes,12.0,3,4,80,0,14.0,2,3,6.0,7.0,1.0,8.0
29,32.0,No,Travel_Rarely,765.0,Sales,24.0,2,Marketing,1,2,Female,52.0,3,1,Research Scientist,3,Divorced,1224.0,8738.0,2,Y,No,12.0,3,2,80,1,11.0,2,3,5.0,4.0,1.0,2.0
30,48.0,No,Travel_Frequently,579.0,Sales,2.0,3,Technical Degree,1,3,Male,71.0,4,2,Sales Executive,1,Divorced,3077.0,21622.0,0,Y,Yes,13.0,3,4,80,0,14.0,3,3,2.0,2.0,1.0,1.0
31,49.0,No,Travel_Frequently,375.0,Sales,10.0,3,Other,1,4,Male,48.0,3,5,Manager,1,Married,16442.0,19886.0,2,Y,No,13.0,3,3,80,1,27.0,4,2,19.0,13.0,0.0,7.0
32,41.0,No,Travel_Frequently,729.0,Research & Development,22.0,4,Life Sciences,1,1,Male,53.0,3,2,Laboratory Technician,4,Single,5048.0,5531.0,1,Y,No,14.0,3,4,80,0,10.0,2,2,7.0,4.0,4.0,2.0
33,25.0,No,Travel_Frequently,613.0,Research & Development,8.0,2,Medical,1,1,Male,68.0,3,1,Research Scientist,2,Divorced,4668.0,11179.0,0,Y,No,13.0,3,4,80,1,2.0,2,3,1.0,1.0,0.0,0.0
34,32.0,No,Travel_Rarely,863.0,Sales,10.0,1,Marketing,1,3,Male,62.0,2,1,Sales Executive,3,Single,6284.0,19217.0,6,Y,No,16.0,3,1,80,0,9.0,3,3,6.0,6.0,0.0,3.0
35,40.0,No,Travel_Rarely,551.0,Research & Development,26.0,1,Life Sciences,1,2,Male,57.0,3,2,Manufacturing Director,4,Married,9580.0,22258.0,9,Y,No,16.0,3,4,80,1,12.0,3,3,15.0,6.0,3.0,13.0
36,40.0,No,Travel_Rarely,1258.0,Research & Development,12.0,4,Life Sciences,1,2,Female,69.0,3,1,Laboratory Technician,2,Married,4752.0,18298.0,3,Y,No,18.0,3,4,80,3,2.0,2,3,3.0,2.0,1.0,2.0
37,23.0,No,Travel_Frequently,689.0,Sales,15.0,2,Technical Degree,1,3,Female,92.0,3,1,Human Resources,3,Married,4276.0,11016.0,7,Y,Yes,15.0,3,1,80,1,8.0,3,3,7.0,2.0,1.0,7.0
38,45.0,No,Non-Travel,367.0,Research & Development,4.0,3,Life Sciences,1,2,Female,62.0,2,2,Healthcare Representative,3,Married,11729.0,22913.0,3,Y,No,13.0,3,2,80,3,15.0,3,3,15.0,15.0,6.0,11.0
39,37.0,No,Non-Travel,1012.0,Sales,9.0,4,Marketing,1,3,Female,47.0,3,2,Sales Executive,3,Married,7006.0,2348.0,1,Y,No,14.0,3,1,80,1,9.0,3,3,10.0,4.0,1.0,7.0
40,26.0,No,Travel_Rarely,1180.0,Research & Development,13.0,4,Life Sciences,1,4,Male,88.0,3,1,Research Scientist,2,Married,2054.0,14343.0,2,Y,No,16.0,3,4,80,2,7.0,4,4,9.0,4.0,0.0,6.0
41,21.0,No,Travel_Rarely,760.0,Research & Development,24.0,4,Life Sciences,1,1,Male,48.0,3,1,Research Scientist,3,Married,2095.0,8550.0,9,Y,No,16.0,3,2,80,3,11.0,2,3,11.0,1.0,3.0,7.0
42,30.0,No,Travel_Rarely,1153.0,Research & Development,11.0,1,Medical,1,2,Female,48.0,3,1,Human Resources,3,Divorced,5627.0,23306.0,1,Y,Yes,12.0,3,4,80,1,5.0,2,3,5.0,2.0,1.0,4.0
43,27.0,No,Travel_Rarely,679.0,Research & Development,6.0,4,Life Sciences,1,4,Male,54.0,4,1,Laboratory Technician,3,Single,1907.0,4159.0,1,Y,No,16.0,3,4,80,1,13.0,6,4,11.0,2.0,0.0,4.0
44,25.0,Yes,Travel_Rarely,385.0,Research & Development,14.0,1,Life Sciences,1,4,Male,59.0,3,1,Research Scientist,1,Married,3941.0,21613.0,1,Y,No,12.0,3,1,80,0,5.0,3,2,5.0,3.0,1.0,3.0
