,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,35.0,No,Travel_Frequently,1201.0,Research & Development,16.0,3,Medical,1,2,Male,71.0,2,1,Research Scientist,4,Married,4443.0,13607.0,1,Y,No,12.0,4,1,80,0,2.0,3,1,5.0,4.0,3.0,3.0
1,49.0,No,Travel_Rarely,760.0,Research & Development,12.0,3,Medical,1,1,Female,73.0,3,2,Laboratory Technician,3,Married,9264.0,3774.0,4,Y,No,11.0,3,3,80,1,30.0,6,2,1.0,4.0,6.0,6.0
2,43.0,No,Non-Travel,850.0,Sales,4.0,1,Life Sciences,1,4,Male,53.0,3,4,Manufacturing Director,4,Married,12961.0,11731.0,0,Y,No,21.0,4,4,80,0,21.0,4,3,5.0,13.0,11.0,3.0
3,34.0,Yes,Travel_Rarely,254.0,Sales,3.0,4,Technical Degree,1,4,Female,45.0,1,1,Research Scientist,4,Married,4637.0,2663.0,3,Y,No,16.0,3,2,80,0,7.0,3,3,4.0,2.0,1.0,5.0
4,37.0,No,Travel_Frequently,1041.0,Research & Development,23.0,4,Medical,1,4,Female,40.0,3,2,Healthcare Representative,3,Divorced,10986.0,21300.0,4,Y,No,12.0,3,3,80,1,21.0,3,3,8.0,7.0,14.0,2.0
5,36.0,No,Non-Travel,577.0,Research & Development,5.0,1,Medical,1,3,Male,48.0,3,3,Laboratory Technician,4,Married,6965.0,8590.0,0,Y,No,21.0,3,2,80,1,13.0,3,3,6.0,6.0,0.0,5.0
6,43.0,No,Travel_Frequently,846.0,Research & Development,10.0,4,Life Sciences,1,3,Male,46.0,4,2,Laboratory Technician,3,Married,6692.0,14053.0,7,Y,No,12.0,3,2,80,0,24.0,4,4,8.0,3.0,13.0,3.0
7,43.0,No,Travel_Rarely,1257.0,Sales,15.0,3,Life Sciences,1,3,Female,91.0,3,2,Sales Executive,1,Married,7686.0,11537.0,0,Y,Yes,13.0,3,1,80,2,6.0,5,2,12.0,4.0,3.0,8.0
8,38.0,No,Travel_Frequently,265.0,Sales,9.0,2,Life Sciences,1,4,Female,68.0,3,2,Manufacturing Director,4,Married,6373.0,10270.0,4,Y,No,14.0,3,4,80,2,6.0,3,2,4.0,7.0,5.0,2.0
9,32.0,No,Travel_Rarely,1276.0,Sales,9.0,3,Marketing,1,3,Male,70.0,3,3,Sales Executive,4,Married,8635.0,6390.0,5,Y,No,22.0,3,2,80,1,7.0,1,3,5.0,1.0,1.0,2.0
10,24.0,No,Travel_Rarely,886.0,Sales,8.0,3,Medical,1,3,Male,66.0,3,2,Laboratory Technician,2,Married,6529.0,3009.0,1,Y,Yes,11.0,3,2,80,1,7.0,3,2,7.0,6.0,2.0,14.0
11,41.0,No,Travel_Rarely,670.0,Sales,14.0,3,Life Sciences,1,4,Male,34.0,3,1,Sales Executive,4,Divorced,12434.0,17267.0,2,Y,No,11.0,3,3,80,1,9.0,0,3,10.0,6.0,5.0,10.0
12,22.0,No,Travel_Rarely,1039.0,Research & Development,5.0,4,Life Sciences,1,4,Male,57.0,3,4,Laboratory Technician,3,Married,4144.0,3985.0,1,Y,Yes,13.0,3,4,80,1,12.0,4,3,14.0,7.0,1.0,4.0
13,32.0,No,Travel_Rarely,722.0,Research & Development,11.0,1,Medical,1,2,Male,74.0,2,2,Research Scientist,4,Single,5929.0,22759.0,0,Y,No,17.0,3,1,80,0,7.0,3,3,4.0,2.0,1.0,5.0
14,36.0,No,Travel_Frequently,1101.0,Research & Development,3.0,1,Life Sciences,1,1,Male,87.0,3,1,Laboratory Technician,4,Divorced,5063.0,6849.0,0,Y,No,16.0,3,3,80,1,14.0,4,2,7.0,5.0,5.0,2.0
15,40.0,No,Travel_Rarely,995.0,Sales,12.0,2,Life Sciences,1,1,Female,78.0,4,2,Sales Representative,1,Divorced,3468.0,11466.0,7,Y,No,18.0,3,2,80,0,0.0,3,3,2.0,4.0,0.0,4.0
16,36.0,Yes,Travel_Frequently,320.0,Research & Development,16.0,1,Medical,1,2,Male,79.0,3,1,Research Scientist,3,Divorced,5220.0,6070.0,2,Y,No,19.0,3,1,80,1,6.0,4,2,1.0,1.0,1.0,7.0
17,31.0,No,Travel_Rarely,1308.0,Sales,8.0,3,Life Sciences,1,3,Female,66.0,3,3,Research Director,3,Married,5430.0,9818.0,3,Y,Yes,18.0,3,2,80,2,8.0,5,3,13.0,5.0,5.0,7.0
18,33.0,No,Travel_Rarely,1033.0,Research & Development,24.0,2,Medical,1,1,Female,67.0,3,1,Research Scientist,2,Single,5888.0,18702.0,1,Y,No,14.0,3,2,80,1,8.0,2,3,6.0,1.0,0.0,1.0
19,19.0,No,Travel_Rarely,1377.0,Research & Development,7.0,3,Life Sciences,1,4,Female,95.0,3,2,Laboratory Technician,1,Divorced,16072.0,11236.0,4,Y,No,15.0,3,4,80,1,1.0,2,3,2.0,2.0,1.0,2.0
20,44.0,No,Travel_Rarely,1315.0,Research & Development,4.0,3,Marketing,1,4,Male,58.0,2,2,Manufacturing Director,4,Divorced,3749.0,17282.0,0,Y,No,12.0,3,4,80,0,5.0,2,2,7.0,3.0,0.0,5.0
21,45.0,No,Travel_Frequently,347.0,Sales,12.0,4,Marketing,1,4,Female,40.0,2,4,Healthcare Representative,1,Divorced,12873.0,16019.0,4,Y,No,19.0,3,2,80,1,15.0,2,3,13.0,7.0,1.0,5.0
22,33.0,No,Travel_Rarely,553.0,Research & Development,10.0,4,Life Sciences,1,4,Male,69.0,2,1,Research Scientist,3,Married,3563.0,21196.0,1,Y,Yes,20.0,3,2,80,1,7.0,2,3,12.0,13.0,4.0,8.0
23,44.0,No,Travel_Rarely,268.0,Research & Development,13.0,4,Life Sciences,1,1,Male,76.0,4,5,Sales Executive,2,Single,8330.0,16839.0,3,Y,No,14.0,3,2,80,0,21.0,4,2,12.0,4.0,5.0,12.0
24,31.0,No,Travel_Rarely,1036.0,Research & Development,10.0,4,Other,1,4,Female,98.0,4,1,Research Scientist,3,Divorced,4601.0,15475.0,1,Y,No,18.0,3,4,80,2,12.0,2,3,9.0,6.0,0.0,14.0
25,40.0,No,Travel_Rarely,883.0,Sales,7.0,3,Medical,1,2,Female,82.0,2,2,Healthcare Representative,1,Divorced,5924.0,24806.0,9,Y,No,21.0,3,3,80,1,10.0,2,3,3.0,2.0,0.0,6.0
26,31.0,No,Travel_Rarely,875.0,Research & Development,28.0,2,Medical,1,2,Male,51.0,3,2,Research Scientist,2,Married,8989.0,17396.0,3,Y,No,14.0,4,1,80,2,16.0,2,3,4.0,1.0,3.0,4.0
27,41.0,No,Travel_Frequently,1075.0,Sales,6.0,3,Life Sciences,1,1,Male,69.0,3,2,Sales Executive,2,Married,8281.0,13842.0,2,Y,No,14.0,3,2,80,3,20.0,1,2,10.0,7.0,4.0,7.0
28,39.0,No,Travel_Frequently,626.0,Human Resources,5.0,3,Medical,1,2,Male,64.0,2,4,Research Director,3,Divorced,13914.0,3807.0,7,Y,No,12.0,3,2,80,1,39.0,3,3,25.0,8.0,3.0,3.0
29,33.0,No,Non-Travel,178.0,Research & Development,3.0,4,Medical,1,3,Male,61.0,4,3,Sales Executive,4,Married,3906.0,20469.0,1,Y,Yes,16.0,3,3,80,1,10.0,3,3,9.0,8.0,4.0,5.0
