,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
0,reason_27,month_10,day_2,season_1,388,8,29,39,205.917,84,0,education_3,son_4,0,0,pet_0,93,163,24,41
1,reason_27,month_10,day_5,season_2,180,28,9,27,205.917,100,0,education_1,son_2,1,0,pet_0,56,163,21,0
2,reason_8,month_2,day_2,season_2,354,15,29,41,378.884,93,1,education_1,son_0,0,0,pet_0,59,163,28,0
3,reason_15,month_0,day_2,season_3,265,5,15,46,250.392,97,0,education_3,son_0,1,0,pet_0,56,163,19,0
4,reason_21,month_3,day_6,season_4,118,22,29,58,269.136,100,0,education_1,son_1,1,0,pet_2,73,185,25,0
5,reason_1,month_4,day_6,season_4,168,52,5,47,212.437,81,0,education_1,son_2,0,0,pet_0,79,174,34,14
6,reason_21,month_3,day_2,season_4,118,5,10,27,205.917,100,0,education_1,son_1,1,0,pet_0,93,187,24,28
7,reason_0,month_0,day_2,season_3,308,21,28,58,316.595,82,0,education_3,son_3,0,0,pet_5,97,163,19,0
8,reason_28,month_5,day_2,season_3,291,24,17,58,292.047,100,0,education_4,son_0,0,1,pet_0,56,176,38,32
9,reason_28,month_11,day_2,season_1,118,47,1,27,378.884,97,0,education_1,son_1,0,1,pet_8,96,181,24,120
10,reason_24,month_2,day_2,season_4,388,52,1,30,205.917,83,0,education_1,son_0,0,1,pet_1,108,163,34,27
11,reason_25,month_3,day_4,season_1,118,50,1,31,313.457,81,0,education_1,son_2,1,1,pet_1,60,167,19,41
12,reason_17,month_10,day_2,season_1,308,39,1,27,321.274,87,0,education_3,son_4,1,0,pet_0,81,163,25,0
13,reason_12,month_11,day_2,season_1,216,25,1,27,257.269,100,0,education_3,son_0,1,0,pet_0,56,163,22,47
14,reason_13,month_0,day_2,season_2,174,7,1,27,378.884,100,0,education_4,son_1,1,0,pet_0,108,169,28,0
