Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
23,No,Non-Travel,1256,Research & Development,14,4,Other,1,3,Male,40,3,2,Sales Executive,3,Married,6151,18611,5,Y,Yes,17,3,4,80,3,6,1970-01-01,1,13,8,10,5
36,Yes,Non-Travel,791,Research & Development,17,3,Human Resources,1,3,Female,99,4,4,Healthcare Representative,3,Married,7822,12559,9,Y,Yes,23,3,1,80,2,32,1970-01-01,2,32,0,0,14
58,No,Travel_Frequently,970,Sales,5,1,Technical Degree,1,2,Male,32,2,2,Research Director,3,Single,2143,14232,8,Y,Yes,16,3,4,80,2,38,1970-01-01,3,19,10,9,16
24,No,Non-Travel,196,Sales,18,4,Technical Degree,1,2,Female,97,2,1,Healthcare Representative,4,Married,11697,18746,5,Y,Yes,18,3,3,80,0,17,1970-01-01,1,17,4,15,9
20,Yes,Non-Travel,1010,Human Resources,21,2,Technical Degree,1,1,Male,79,4,3,Healthcare Representative,4,Married,3608,4626,8,Y,Yes,16,4,1,80,0,1,1970-01-01,1,25,1,12,4
29,Yes,Travel_Rarely,162,Research & Development,28,4,Medical,1,4,Male,79,2,5,Human Resources,3,Married,9555,16230,0,Y,No,11,4,2,80,0,35,1970-01-01,4,12,15,14,5
39,No,Travel_Rarely,799,Research & Development,27,4,Human Resources,1,1,Male,100,2,2,Sales Representative,4,Married,1435,7235,5,Y,No,17,4,2,80,1,21,1970-01-01,1,35,17,3,15
56,Yes,Non-Travel,536,Research & Development,17,1,Technical Degree,1,3,Female,52,1,3,Manager,3,Divorced,16591,23632,1,Y,No,20,3,2,80,3,20,1970-01-01,3,29,6,6,7
27,No,Travel_Frequently,1136,Sales,11,1,Technical Degree,1,2,Female,58,4,1,Manufacturing Director,1,Married,5417,13046,6,Y,No,15,4,4,80,0,31,1970-01-01,2,36,16,1,9
24,No,Travel_Frequently,1331,Human Resources,22,5,Technical Degree,1,2,Female,79,1,5,Laboratory Technician,2,Married,7221,24779,7,Y,Yes,13,4,4,80,3,2,1970-01-01,1,9,9,9,12
45,No,Travel_Rarely,372,Sales,12,3,Marketing,1,4,Male,39,3,5,Research Scientist,4,Single,6661,11640,2,Y,No,21,4,1,80,2,15,1970-01-01,3,6,16,6,14
28,No,Travel_Frequently,841,Human Resources,16,4,Human Resources,1,4,Male,74,1,3,Human Resources,1,Single,3837,4013,0,Y,Yes,18,3,1,80,2,25,1970-01-01,3,13,5,5,9
28,No,Travel_Frequently,304,Sales,26,5,Other,1,1,Male,90,4,1,Manager,3,Married,19241,13890,4,Y,Yes,13,3,3,80,3,25,1970-01-01,1,21,11,9,2
41,Yes,Non-Travel,1028,Sales,10,3,Life Sciences,1,4,Male,54,4,2,Human Resources,2,Single,3373,24672,3,Y,No,17,3,3,80,0,37,1970-01-01,4,39,1,5,10
37,Yes,Travel_Rarely,305,Human Resources,23,1,Human Resources,1,4,Male,45,2,4,Sales Representative,4,Married,12677,22323,8,Y,Yes,22,3,4,80,0,1,1970-01-01,4,40,11,0,10
35,Yes,Travel_Frequently,288,Research & Development,13,5,Life Sciences,1,4,Male,41,2,2,Laboratory Technician,2,Single,15979,6949,0,Y,No,24,3,4,80,1,6,1970-01-01,4,35,4,7,15
60,No,Travel_Rarely,1211,Research & Development,17,5,Other,1,2,Male,53,3,4,Research Scientist,4,Divorced,12078,24361,2,Y,Yes,15,3,4,80,3,14,1970-01-01,3,23,8,5,14
29,Yes,Travel_Frequently,1046,Research & Development,28,5,Technical Degree,1,2,Male,75,1,1,Sales Representative,2,Single,15815,6265,0,Y,No,13,4,1,80,0,10,1970-01-01,2,1,13,5,10
21,No,Travel_Frequently,1297,Sales,18,5,Human Resources,1,1,Female,63,4,5,Manufacturing Director,4,Married,12376,7946,6,Y,No,23,3,2,80,3,3,1970-01-01,4,2,12,3,16
26,Yes,Travel_Rarely,925,Human Resources,4,4,Technical Degree,1,3,Male,62,2,1,Sales Executive,1,Married,7051,26515,8,Y,Yes,25,3,4,80,0,9,1970-01-01,4,10,17,7,1
52,No,Non-Travel,953,Sales,14,3,Life Sciences,1,2,Male,80,3,5,Sales Representative,4,Single,15723,22733,3,Y,Yes,20,4,3,80,2,7,1970-01-01,3,3,18,12,6
40,Yes,Travel_Rarely,908,Sales,27,3,Other,1,1,Female,65,3,1,Research Scientist,2,Single,10158,14611,5,Y,Yes,18,4,1,80,0,38,1970-01-01,4,0,18,2,16
50,Yes,Travel_Rarely,114,Research & Development,11,3,Other,1,4,Male,100,3,5,Research Director,1,Married,15253,21374,0,Y,No,18,4,4,80,1,18,1970-01-01,4,28,11,6,16
47,Yes,Travel_Rarely,452,Human Resources,12,3,Marketing,1,1,Female,61,2,3,Manager,1,Single,2925,2485,5,Y,No,17,3,1,80,2,38,1970-01-01,4,33,13,6,1
29,Yes,Travel_Frequently,684,Sales,9,2,Life Sciences,1,2,Female,77,2,1,Research Scientist,2,Married,5800,20121,4,Y,Yes,19,4,2,80,2,10,1970-01-01,4,12,9,6,15
41,No,Non-Travel,820,Sales,7,4,Technical Degree,1,4,Male,44,4,1,Manufacturing Director,3,Single,15320,17174,1,Y,Yes,13,3,3,80,2,35,1970-01-01,2,18,14,7,17
50,No,Non-Travel,1140,Sales,12,4,Life Sciences,1,2,Male,91,2,5,Sales Representative,3,Single,9888,21641,5,Y,Yes,14,3,2,80,3,32,1970-01-01,2,37,17,14,17
30,Yes,Travel_Rarely,927,Research & Development,11,4,Marketing,1,1,Female,78,2,5,Manufacturing Director,2,Married,19811,12054,9,Y,Yes,16,3,4,80,0,33,1970-01-01,4,39,12,9,10
60,Yes,Travel_Frequently,905,Human Resources,26,1,Life Sciences,1,2,Male,84,2,1,Healthcare Representative,1,Married,6989,4930,7,Y,No,15,4,3,80,0,26,1970-01-01,4,33,1,14,10
53,Yes,Travel_Frequently,421,Sales,13,2,Other,1,1,Female,71,4,4,Sales Executive,2,Married,2057,11583,6,Y,No,24,4,1,80,1,32,1970-01-01,4,12,12,8,13
44,Yes,Non-Travel,382,Human Resources,5,5,Technical Degree,1,4,Female,78,1,1,Laboratory Technician,4,Married,9708,24904,2,Y,No,11,4,1,80,2,10,1970-01-01,1,38,10,1,7
60,Yes,Travel_Rarely,400,Sales,11,3,Medical,1,1,Female,58,2,1,Sales Executive,4,Divorced,19395,9692,0,Y,No,21,3,4,80,0,26,1970-01-01,2,37,4,5,3
26,No,Non-Travel,592,Research & Development,29,3,Human Resources,1,1,Male,40,4,3,Manufacturing Director,3,Married,19315,16037,5,Y,Yes,11,3,4,80,1,30,1970-01-01,1,15,17,3,11
38,No,Travel_Rarely,317,Sales,28,3,Medical,1,3,Female,64,3,3,Sales Representative,2,Divorced,3931,11519,9,Y,No,14,3,3,80,2,16,1970-01-01,2,0,13,12,17
57,No,Travel_Frequently,1231,Human Resources,4,3,Medical,1,2,Female,54,2,5,Manufacturing Director,3,Married,3265,16127,9,Y,No,13,4,3,80,3,37,1970-01-01,2,34,17,2,16
18,No,Non-Travel,1271,Human Resources,11,4,Medical,1,3,Male,75,4,2,Manager,1,Single,3940,6821,5,Y,No,23,3,4,80,0,40,1970-01-01,3,30,3,0,2
51,Yes,Non-Travel,541,Research & Development,24,3,Medical,1,4,Female,76,3,4,Sales Executive,3,Single,3798,10545,3,Y,No,25,4,3,80,2,26,1970-01-01,3,18,11,11,3
54,Yes,Travel_Frequently,226,Research & Development,15,4,Technical Degree,1,4,Female,88,2,3,Research Scientist,3,Single,17438,16069,0,Y,No,20,4,2,80,0,11,1970-01-01,2,30,10,1,5
52,No,Travel_Frequently,212,Human Resources,7,3,Marketing,1,1,Male,76,2,4,Research Director,4,Divorced,3704,3230,8,Y,Yes,16,3,2,80,1,40,1970-01-01,3,24,1,0,10
18,No,Travel_Rarely,623,Human Resources,29,4,Life Sciences,1,2,Female,57,3,2,Laboratory Technician,2,Married,16387,19622,4,Y,Yes,20,3,1,80,1,29,1970-01-01,3,19,1,13,1
29,Yes,Travel_Frequently,481,Sales,3,3,Human Resources,1,1,Female,54,2,2,Research Director,4,Single,17291,21046,0,Y,Yes,14,4,4,80,2,16,1970-01-01,2,15,14,13,1
33,No,Travel_Frequently,1354,Human Resources,15,1,Medical,1,3,Male,66,4,5,Healthcare Representative,2,Divorced,5672,23542,6,Y,No,16,3,3,80,1,36,1970-01-01,2,36,9,10,9
33,No,Non-Travel,1097,Sales,7,5,Human Resources,1,4,Male,35,4,1,Manufacturing Director,3,Married,8584,20910,2,Y,Yes,20,4,3,80,3,15,1970-01-01,2,11,13,5,4
46,No,Travel_Frequently,1437,Research & Development,11,1,Medical,1,4,Female,76,2,1,Research Scientist,3,Single,4366,17566,5,Y,Yes,12,4,4,80,1,17,1970-01-01,1,21,13,12,16
49,Yes,Non-Travel,938,Human Resources,15,4,Marketing,1,2,Male,86,2,5,Research Director,4,Divorced,9735,11526,0,Y,Yes,14,4,4,80,2,29,1970-01-01,3,24,4,13,5
21,No,Travel_Rarely,1416,Sales,6,2,Medical,1,3,Female,35,2,2,Manufacturing Director,3,Single,18859,7697,1,Y,No,16,3,3,80,1,1,1970-01-01,2,29,5,7,0
47,No,Travel_Frequently,1100,Research & Development,7,4,Life Sciences,1,1,Female,99,1,2,Sales Representative,3,Single,13016,20266,7,Y,Yes,25,3,2,80,0,35,1970-01-01,3,6,8,10,5
23,No,Non-Travel,1450,Sales,20,2,Technical Degree,1,1,Female,30,1,5,Manager,3,Single,8371,18472,1,Y,Yes,24,3,1,80,0,18,1970-01-01,3,40,7,14,2
20,Yes,Travel_Rarely,1393,Research & Development,11,5,Technical Degree,1,2,Male,49,3,4,Healthcare Representative,1,Divorced,17705,20176,9,Y,Yes,17,4,3,80,0,13,1970-01-01,1,31,17,5,4
44,Yes,Non-Travel,432,Sales,3,3,Technical Degree,1,1,Female,39,2,4,Sales Representative,2,Married,10402,23186,2,Y,No,15,3,2,80,3,38,1970-01-01,1,21,7,1,14
22,Yes,Travel_Frequently,415,Sales,9,5,Other,1,2,Male,95,2,4,Manager,2,Divorced,6633,23703,4,Y,No,22,4,1,80,2,39,1970-01-01,3,35,16,3,16
39,Yes,Non-Travel,927,Research & Development,25,2,Technical Degree,1,2,Male,58,3,4,Research Director,1,Married,10581,9102,7,Y,No,16,3,4,80,0,6,1970-01-01,1,1,14,10,2
45,No,Travel_Frequently,522,Sales,18,5,Medical,1,2,Male,83,2,2,Sales Representative,1,Married,18657,19110,2,Y,No,21,4,1,80,0,29,1970-01-01,2,26,6,14,14
42,Yes,Travel_Frequently,1126,Research & Development,12,3,Technical Degree,1,3,Male,57,4,4,Manufacturing Director,2,Single,13962,11156,9,Y,No,23,4,2,80,2,28,1970-01-01,3,19,17,9,11
23,Yes,Travel_Rarely,526,Human Resources,23,3,Marketing,1,4,Male,80,1,4,Laboratory Technician,1,Divorced,12983,17713,6,Y,Yes,12,3,3,80,1,23,1970-01-01,3,21,8,10,17
27,Yes,Travel_Rarely,984,Research & Development,14,4,Human Resources,1,2,Male,58,2,2,Manager,2,Married,1240,23288,6,Y,Yes,24,4,3,80,3,2,1970-01-01,3,10,3,5,5
55,No,Travel_Frequently,531,Research & Development,27,5,Marketing,1,1,Male,73,4,1,Human Resources,1,Married,10243,12961,7,Y,Yes,16,4,4,80,3,3,1970-01-01,2,23,11,5,15
29,Yes,Non-Travel,901,Research & Development,15,1,Medical,1,1,Male,58,4,3,Human Resources,4,Divorced,10357,7686,0,Y,No,16,3,3,80,2,9,1970-01-01,3,22,2,12,7
26,Yes,Travel_Frequently,708,Human Resources,24,4,Other,1,2,Male,75,2,3,Human Resources,2,Single,19265,23317,0,Y,Yes,18,3,1,80,1,22,1970-01-01,1,24,3,5,16
28,Yes,Travel_Rarely,1207,Research & Development,17,3,Life Sciences,1,1,Male,93,3,4,Healthcare Representative,4,Married,10575,9086,9,Y,No,19,4,3,80,1,18,1970-01-01,4,36,4,5,15
57,Yes,Non-Travel,1221,Human Resources,8,4,Technical Degree,1,3,Male,51,2,1,Sales Representative,3,Divorced,10366,13171,4,Y,Yes,21,3,4,80,2,31,1970-01-01,2,0,7,12,0
47,No,Travel_Rarely,1223,Human Resources,11,1,Medical,1,2,Female,75,4,5,Sales Representative,3,Divorced,10318,16334,0,Y,Yes,12,3,4,80,2,9,1970-01-01,2,25,6,2,7
53,Yes,Non-Travel,119,Sales,8,2,Technical Degree,1,1,Male,69,4,3,Laboratory Technician,2,Divorced,5982,17172,4,Y,Yes,22,3,2,80,2,28,1970-01-01,2,22,0,5,14
42,No,Non-Travel,1093,Human Resources,12,4,Marketing,1,4,Male,68,3,4,Laboratory Technician,2,Divorced,15633,19942,9,Y,No,24,3,2,80,1,24,1970-01-01,1,33,6,1,7
18,Yes,Non-Travel,738,Sales,10,5,Other,1,2,Female,74,4,3,Sales Executive,2,Divorced,8062,7755,6,Y,No,24,3,3,80,2,36,1970-01-01,1,13,16,6,11
19,Yes,Travel_Frequently,921,Research & Development,8,2,Human Resources,1,3,Male,85,4,1,Sales Representative,1,Married,13081,4754,5,Y,No,12,4,4,80,1,15,1970-01-01,4,35,13,0,3
48,Yes,Travel_Rarely,1120,Human Resources,19,2,Other,1,4,Male,59,1,4,Healthcare Representative,1,Single,10888,6921,7,Y,No,24,4,1,80,1,24,1970-01-01,3,27,9,2,14
24,No,Travel_Frequently,127,Research & Development,2,2,Technical Degree,1,3,Female,35,2,3,Sales Representative,1,Divorced,11269,16006,3,Y,No,18,3,3,80,3,36,1970-01-01,3,18,4,15,11
19,Yes,Non-Travel,312,Research & Development,22,3,Medical,1,2,Female,52,1,5,Sales Representative,4,Divorced,2187,23230,7,Y,No,17,4,2,80,3,8,1970-01-01,4,23,4,3,6
