Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
33,Yes,Non-Travel,592,Sales,6,2,Other,1,2,Male,76,2,4,Laboratory Technician,3,Married,10908,25038,5,Y,No,11,4,3,80,3,13,1970-01-01,4,29,17,9,6
29,No,Travel_Frequently,173,Sales,14,5,Life Sciences,1,3,Male,94,3,2,Research Scientist,3,Divorced,12062,17618,7,Y,No,16,4,2,80,2,29,1970-01-01,1,31,9,11,6
37,No,Travel_Rarely,527,Sales,23,4,Human Resources,1,4,Male,59,3,1,Human Resources,2,Single,19473,9617,8,Y,Yes,16,4,1,80,2,31,1970-01-01,4,37,5,14,2
33,No,Non-Travel,1025,Research & Development,4,1,Human Resources,1,4,Female,87,4,2,Laboratory Technician,3,Single,1240,19878,9,Y,No,18,4,4,80,2,3,1970-01-01,4,30,12,4,14
43,Yes,Travel_Rarely,1181,Sales,23,4,Human Resources,1,3,Female,40,2,2,Manufacturing Director,2,Married,1648,16817,4,Y,No,15,4,2,80,2,10,1970-01-01,1,35,15,4,11
36,No,Travel_Rarely,1429,Human Resources,26,2,Life Sciences,1,2,Female,31,1,1,Research Scientist,4,Divorced,5016,11036,8,Y,Yes,16,4,1,80,3,3,1970-01-01,2,10,10,6,16
20,No,Non-Travel,1032,Sales,6,5,Human Resources,1,2,Male,60,3,4,Laboratory Technician,2,Married,18380,18759,7,Y,Yes,17,3,1,80,0,22,1970-01-01,1,7,3,12,8
52,Yes,Travel_Frequently,371,Research & Development,14,5,Marketing,1,4,Male,91,1,5,Manager,1,Single,12541,4427,8,Y,No,20,3,2,80,1,18,1970-01-01,2,7,13,10,17
29,No,Travel_Rarely,274,Research & Development,15,1,Life Sciences,1,2,Male,54,4,4,Healthcare Representative,1,Single,4902,19555,4,Y,Yes,13,3,1,80,3,29,1970-01-01,2,13,13,4,9
21,No,Travel_Rarely,1121,Research & Development,9,5,Other,1,1,Male,32,4,2,Human Resources,3,Single,19893,13182,6,Y,No,15,4,4,80,3,19,1970-01-01,4,9,14,0,4
25,No,Travel_Rarely,483,Research & Development,7,4,Human Resources,1,2,Female,97,3,2,Human Resources,3,Single,14755,26859,4,Y,Yes,17,4,2,80,1,3,1970-01-01,3,1,5,4,11
55,Yes,Travel_Frequently,789,Human Resources,11,5,Life Sciences,1,1,Female,81,4,1,Laboratory Technician,2,Divorced,15668,16638,0,Y,Yes,22,3,1,80,2,11,1970-01-01,4,0,15,6,15
39,Yes,Travel_Rarely,215,Sales,21,1,Other,1,1,Female,32,4,3,Manufacturing Director,1,Married,18236,21033,4,Y,Yes,20,3,2,80,3,12,1970-01-01,1,18,2,12,4
29,No,Travel_Frequently,1270,Research & Development,11,1,Marketing,1,1,Female,71,4,2,Sales Executive,2,Single,3972,11190,3,Y,No,12,4,4,80,0,11,1970-01-01,4,17,16,0,7
45,No,Travel_Rarely,430,Research & Development,18,4,Life Sciences,1,4,Male,70,2,1,Sales Executive,4,Divorced,9742,19724,7,Y,Yes,13,3,4,80,1,32,1970-01-01,4,3,12,13,11
29,Yes,Non-Travel,456,Human Resources,18,4,Life Sciences,1,2,Male,51,2,3,Sales Representative,2,Married,1984,19267,9,Y,Yes,19,4,3,80,3,20,1970-01-01,4,39,16,1,9
29,Yes,Travel_Frequently,1241,Research & Development,26,2,Human Resources,1,1,Male,39,3,2,Research Director,3,Single,6393,6861,1,Y,No,15,4,2,80,1,22,1970-01-01,3,37,8,6,0
25,Yes,Travel_Frequently,1147,Sales,22,3,Medical,1,4,Female,48,4,4,Sales Representative,4,Married,6656,23423,8,Y,No,17,4,3,80,3,38,1970-01-01,3,9,2,5,13
35,No,Travel_Rarely,274,Human Resources,11,3,Human Resources,1,1,Male,85,4,3,Research Director,2,Married,6952,20524,3,Y,No,12,3,4,80,2,15,1970-01-01,4,5,8,0,11
51,Yes,Non-Travel,117,Human Resources,11,2,Life Sciences,1,3,Male,68,1,5,Research Director,2,Single,15939,24428,3,Y,No,23,3,2,80,3,1,1970-01-01,3,9,9,3,16
40,Yes,Non-Travel,1147,Research & Development,3,3,Other,1,3,Female,64,2,4,Research Director,1,Married,14278,5218,5,Y,Yes,17,4,1,80,2,1,1970-01-01,1,35,5,4,16
30,No,Non-Travel,804,Research & Development,13,1,Medical,1,1,Male,50,1,3,Sales Executive,2,Married,11726,17284,8,Y,No,25,4,4,80,0,14,1970-01-01,4,32,4,13,16
23,No,Non-Travel,217,Human Resources,20,4,Other,1,1,Female,51,3,3,Research Scientist,4,Married,3919,9644,7,Y,Yes,14,4,1,80,3,2,1970-01-01,1,39,13,13,2
48,Yes,Non-Travel,772,Research & Development,23,4,Other,1,1,Female,99,3,4,Human Resources,2,Single,18681,24868,6,Y,No,24,4,2,80,2,25,1970-01-01,1,2,9,13,13
23,No,Non-Travel,877,Research & Development,5,4,Marketing,1,2,Female,87,1,1,Research Director,1,Single,13893,10085,7,Y,Yes,12,3,3,80,2,22,1970-01-01,2,34,6,12,9
