Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
25,No,Non-Travel,1002,Human Resources,24,5,Human Resources,1,3,Male,36,1,4,Research Scientist,4,Single,6265,17826,3,Y,No,21,3,2,80,0,18,1970-01-01,4,31,3,5,8
32,Yes,Travel_Rarely,1038,Sales,13,3,Medical,1,1,Female,36,3,2,Research Director,3,Single,16994,11744,2,Y,Yes,14,4,1,80,1,34,1970-01-01,2,32,14,12,11
42,No,Travel_Frequently,883,Sales,9,2,Marketing,1,3,Male,99,2,1,Laboratory Technician,4,Single,1667,7920,2,Y,Yes,23,3,4,80,2,17,1970-01-01,1,20,14,15,11
39,Yes,Travel_Frequently,634,Research & Development,9,2,Other,1,1,Male,98,2,1,Manager,3,Single,7965,24724,4,Y,No,17,3,4,80,0,10,1970-01-01,4,32,8,11,4
31,No,Travel_Frequently,918,Research & Development,19,2,Marketing,1,4,Male,85,2,3,Manufacturing Director,2,Married,13555,5693,1,Y,Yes,13,4,4,80,1,12,1970-01-01,4,18,6,9,10
59,Yes,Travel_Rarely,829,Sales,13,1,Marketing,1,3,Female,30,4,5,Manager,3,Divorced,7004,4798,1,Y,No,12,3,2,80,3,29,1970-01-01,1,13,2,9,16
60,No,Travel_Frequently,332,Human Resources,2,1,Human Resources,1,4,Female,40,4,3,Sales Representative,4,Single,5252,24347,3,Y,No,18,3,2,80,0,13,1970-01-01,1,36,1,11,13
60,No,Travel_Frequently,1460,Human Resources,15,5,Marketing,1,4,Male,42,2,1,Manager,2,Single,19418,5128,9,Y,No,24,4,4,80,3,17,1970-01-01,2,1,13,1,13
43,No,Travel_Frequently,988,Sales,4,2,Marketing,1,1,Male,30,4,3,Sales Executive,2,Single,15031,22128,4,Y,Yes,20,4,4,80,1,27,1970-01-01,2,10,15,7,4
29,Yes,Non-Travel,1144,Sales,24,4,Marketing,1,4,Male,63,1,1,Manager,2,Single,7062,9823,0,Y,Yes,24,4,1,80,1,6,1970-01-01,3,18,2,8,0
39,Yes,Non-Travel,432,Research & Development,8,2,Other,1,4,Male,50,2,3,Laboratory Technician,4,Divorced,17979,4626,8,Y,No,12,3,3,80,0,28,1970-01-01,2,32,17,3,17
28,Yes,Travel_Frequently,297,Human Resources,14,3,Human Resources,1,1,Male,54,3,5,Laboratory Technician,1,Married,9249,11545,3,Y,No,14,3,4,80,0,27,1970-01-01,4,31,6,7,9
