,RESOURCE,MANAGER,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE,target
0,27728,13814,117961,118225,118292,119093,133686,118424,119851,1
1,42208,6482,117961,118386,118522,118278,240983,290919,118687,1
2,38656,46462,118290,118291,118507,120344,149688,118424,120346,1
3,189629,14889,117961,117962,118501,120702,126111,118504,120774,1
4,35444,49437,117961,118225,124380,307024,140976,118331,258436,1
5,37558,86387,117961,118327,4674,118321,117906,290919,118322,1
6,75078,49772,118315,118026,118522,118980,286597,118453,118730,1
7,80862,7520,117961,118343,124725,118321,117906,290919,118322,1
8,20364,2395,117961,118300,118458,118293,118443,117887,118055,1
9,15369,17561,119280,118170,118202,117946,118260,292795,117948,1
10,6977,25,117961,117962,122938,118321,117906,290919,118322,1
11,28315,72287,126918,126919,118042,118043,146409,270488,118046,1
12,40072,70066,91261,118026,118317,117905,117906,290919,117908,1
13,17813,1810,117961,118327,120559,118641,306399,118643,118644,1
14,35525,5496,91261,117954,117895,117905,117906,117887,117908,1
15,80327,51781,119280,119281,118623,118995,136748,119095,118997,1
16,38656,5053,117961,118052,121108,123737,165069,121916,122069,1
17,74283,25262,117961,118327,118733,118523,310608,118331,118525,1
18,44724,3933,118212,118463,118701,120765,310589,118638,119851,0
19,741,744,117961,118300,121305,118321,117906,290919,118322,1
20,36480,15510,117961,118170,118171,192867,185784,118347,192869,0
21,78110,2068,117961,118300,121216,119192,138942,3130,119194,1
22,75477,4727,117961,118343,118522,120773,127581,120518,120774,1
23,1581,125466,117902,117903,120171,120990,160460,118398,121017,1
24,33243,1030,117961,118343,121694,118361,118368,118363,118364,1
25,4675,56602,118079,118080,117878,117879,120319,19721,117880,1
26,38726,60789,118602,119091,118522,118563,118568,19721,118565,1
27,38480,27463,118582,118671,117895,117896,117913,117887,117898,1
28,31224,49353,117961,117962,118501,118321,123170,118504,118322,1
29,43695,19839,117961,118300,123201,118321,117906,290919,118322,1
30,73144,52314,117961,118327,118301,118958,306795,118295,118982,0
31,28660,52481,117983,117984,117878,117879,117897,19721,117880,1
