,RESOURCE,MANAGER,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE,target
0,32419,994,117961,118327,118929,120300,123107,120518,120303,1
1,42733,7504,117961,118300,119987,118321,117906,290919,118322,1
2,35994,59394,91261,118026,118202,117905,117906,290919,117908,1
3,4675,4897,118887,159716,121747,120952,159717,118453,120346,1
4,22682,169,117961,118413,122007,118321,117906,290919,118322,0
5,80574,2296,117961,118413,277693,123737,127475,118960,123738,1
6,75078,151283,117961,118446,118514,117905,117906,290919,117908,1
7,33146,7913,117902,117962,120059,120990,120991,118424,121471,1
8,25274,52891,117961,118343,120126,118054,118448,290919,119435,1
9,34628,3745,117961,118300,118360,124435,118362,118205,124436,0
10,42085,3692,118315,118386,123656,118784,117906,290919,118786,1
11,73543,51091,120864,119921,121961,118826,174005,118424,118786,1
12,38205,57986,118185,31010,117884,117879,117886,19721,117880,1
13,18418,4886,117961,118300,118631,118422,300136,118424,118425,1
14,23553,20899,117961,118340,117970,179731,179731,117887,117973,1
15,78196,53190,117961,118300,147589,307024,311622,118424,118332,1
16,23096,14731,117961,118446,120368,117905,117906,290919,118322,1
17,28294,14862,117961,118225,122870,118523,143193,118331,118899,1
18,42093,6217,118887,118327,118631,118912,162182,118467,118914,1
19,43683,4135,117890,118102,117878,117879,117879,19721,117880,1
20,38725,83497,117922,117923,117912,117885,117886,117887,117888,1
21,77163,4004,117961,118300,118518,118451,200069,118453,118209,1
22,31232,56006,117890,117877,117878,118568,292195,19721,118570,1
23,44763,3000,117961,118225,120551,118321,118448,290919,118322,1
24,80381,2296,117961,118413,127522,120773,118959,118960,120774,1
25,33146,5163,118290,118291,118597,118834,149688,118424,120346,1
26,14354,53584,117876,117877,117912,119192,281735,19721,118570,1
27,79021,53193,117961,120811,118896,125793,123073,118643,124307,1
28,42085,4308,117961,118343,149210,118054,137362,117887,118055,1
29,39395,18686,117961,118386,128823,118321,117906,290919,118322,1
30,43952,50806,117961,118603,118378,118054,118054,117887,117888,1
31,41758,15504,117961,118386,123901,117905,117906,290919,117908,0
32,25103,141,117961,118052,122938,118321,117906,290919,118322,1
33,38392,58681,117926,117927,117912,117885,117913,117887,117888,1
34,34924,4945,117961,118300,118360,118636,310589,118638,118639,1
35,2235,2014,117961,117903,118910,121372,148801,119184,122024,1
36,74661,50003,117961,118300,124816,119743,129467,3130,119745,1
37,83887,59267,117961,117962,120677,122067,120065,118331,118899,1
38,18072,5550,118256,118257,117945,259173,127423,292795,118943,1
39,79092,46542,117932,117933,117884,118568,142278,19721,118570,1
40,1151,125466,117902,117903,120171,121015,160460,119006,121017,1
41,15714,7755,118752,118170,117904,117946,152940,270488,118209,1
42,24049,87595,117980,117981,117941,179731,125290,117887,117973,1
43,22391,1550,117961,118225,123173,118054,119601,117887,118055,1
44,33147,1271,117961,117952,117884,117885,127778,117887,117888,1
45,312089,49453,118887,118343,118631,118890,306795,118424,118914,1
46,75078,58719,117961,118316,118635,118318,168365,118205,118319,1
47,80687,7278,91261,118026,118202,118321,117906,290919,117908,1
48,79092,15474,118114,118182,117941,118568,215667,19721,118570,1
49,14845,49626,117961,118327,145424,117905,117906,290919,117908,1
50,32270,17713,117961,118225,122273,118321,118448,290919,118322,1
51,1281,44053,117961,117962,118910,119949,123170,290919,119951,1
52,7543,16541,117961,118225,120551,117905,117906,290919,117908,1
53,28852,16835,131853,131854,120370,117905,117906,290919,117908,1
54,81254,15646,117961,118343,119796,307024,311622,118331,118332,1
55,6711,2938,117961,118413,122007,118321,118260,290919,117908,1
56,40997,18236,117961,118225,118616,119351,210201,3130,119353,1
57,45990,53027,119280,118603,118754,118995,130913,118424,118892,1
58,33150,51781,119280,118343,118623,118995,136748,292795,120099,1
59,39939,249,117961,118225,118403,117905,117906,290919,117908,1
60,1020,60121,119596,121786,119922,117905,195315,290919,118786,1
61,33194,2395,117961,118052,120722,118321,117906,290919,118322,1
62,37089,2270,117961,118413,277693,118685,279443,290919,118687,1
63,22286,7398,117961,118225,120663,118321,117906,290919,117908,1
64,15710,15435,117961,118343,122299,119949,121350,290919,119951,1
65,34950,15886,117961,118327,120171,120647,256168,118398,120649,1
66,80189,1325,117961,117969,118910,118054,118054,117887,118055,1
67,40848,7551,117961,118052,118616,117905,240983,290919,117908,1
68,33054,4998,117961,118343,120368,119433,133686,118638,119435,1
69,41314,15478,118256,117954,122672,126684,127390,292795,127391,1
70,75901,1396,119596,118291,118501,146951,176829,118424,135811,1
71,35493,14829,117961,118052,118535,117905,117906,290919,117908,1
72,14354,11909,118742,118743,117941,117879,117897,19721,117880,0
73,31461,2225,117902,117962,119223,122269,122352,118331,118899,1
74,36280,91342,117961,118052,118403,307024,259703,118331,163732,1
75,3853,5385,117961,118343,121883,119962,168365,118205,119964,1
76,34924,28590,117961,117962,120685,117905,240983,290919,117908,1
77,44262,5899,117961,118327,120318,118321,279443,118643,118786,1
78,19982,56193,117961,118327,118929,118784,118785,118762,118786,1
79,53101,4023,119920,119921,119064,117905,240983,290919,117908,1
80,28294,6454,117961,118343,118684,117905,117906,290919,117908,1
81,75078,5196,117961,118052,121405,118636,174445,249618,120099,1
82,29136,7443,117961,118446,119961,118278,287351,290919,118279,1
83,40702,32457,117961,118327,118320,118641,123881,118643,118644,1
84,32642,15440,118290,118257,118979,120344,141929,118424,120315,1
85,42376,6034,117890,118164,117878,117879,117879,19721,117880,1
86,43488,1840,117961,118343,118514,118321,117906,290919,118322,1
87,15806,49772,91261,119256,118746,118451,168365,118453,118454,1
88,18913,16641,117918,117940,117920,118568,124402,118424,118794,1
89,18381,44022,117916,117952,118810,120172,128571,290919,119325,1
90,41948,3270,118219,118225,119781,120097,123784,270488,120035,1
91,4675,7408,117961,118041,118352,117905,240983,292795,119082,1
92,42914,17116,119280,118257,117878,126684,193644,292795,126685,1
93,15797,87910,119301,118026,119279,118321,126309,290919,118454,1
94,79954,3707,117961,118463,119214,120765,124306,118762,124307,1
95,39333,18213,117961,118386,125016,118451,126309,118453,118454,1
96,14570,124899,117961,118327,120171,120618,249497,118643,120649,1
97,89148,15510,117961,117969,131868,166592,149229,155173,166594,1
98,20226,4072,118887,119070,121108,118834,280788,118424,120008,1
99,391,48701,117926,117911,117941,117879,117886,19721,117880,1
100,838,7398,118200,118225,117884,117885,240983,290919,117908,1
101,17249,4375,117961,118343,118833,120344,310997,118295,120350,1
102,25993,71387,117961,118386,129972,118784,121873,290919,118786,1
103,80546,3878,117961,118327,119830,122551,118260,118960,119435,1
104,15796,1840,117961,118413,118514,117905,117906,290919,117908,1
105,23497,4341,117961,118300,118933,118321,117906,290919,118322,0
106,20351,17514,117961,118327,121883,118321,117906,290919,117908,0
107,72345,71171,117961,118386,123844,118321,117906,290919,118322,1
108,20299,19857,117929,117940,117941,117879,117886,19721,117880,1
109,41975,86098,120864,118026,119507,123648,123107,124136,124137,1
110,4675,5909,117961,118446,16232,118784,121873,290919,118786,1
111,36267,27886,117961,117979,117941,118958,135780,19721,118705,1
112,42972,81619,119062,118991,118535,118321,117906,290919,118322,1
113,23921,7510,117961,118446,118631,118784,124862,290919,118786,1
114,39262,3883,117961,118446,119987,118784,118785,290919,118786,1
115,3130,35191,117961,118386,118447,118777,302830,308574,119348,1
116,42085,3788,117961,118413,118933,118784,117906,290919,118786,1
117,40438,5916,117961,118386,16232,259173,126238,118762,120346,1
118,26391,73825,117961,118386,118522,118784,121698,290919,118786,1
119,75834,2983,117961,118343,118522,118321,117906,290919,118322,1
120,75639,5524,118315,118300,118700,117905,117906,290919,117908,1
121,19272,8563,117961,118300,120410,118321,117906,290919,118322,1
122,79121,7520,117961,118343,124725,118784,117906,290919,118786,1
123,80180,3868,117961,118052,120096,118321,117906,290919,118322,1
124,34924,79474,117887,118178,118320,118451,172635,117887,117973,1
125,15064,17640,117961,118052,118706,118321,120689,118205,118319,0
126,20231,46645,119134,119281,118623,126684,130913,292795,126685,1
127,74754,234958,91261,118291,118754,273308,118029,249618,118232,1
128,74902,7586,117961,118327,118522,117905,117906,290919,117908,1
129,25696,19623,117961,118225,118403,117905,117906,290919,117908,1
130,16143,55632,117890,117877,117878,117879,117879,19721,117900,1
131,25993,4263,121785,121786,120317,117905,117906,290919,118322,1
132,33642,31851,118185,31010,117941,117879,117886,19721,117880,1
133,33642,13031,119402,117954,117895,117899,157237,19721,117898,1
134,20292,770,117926,118300,119569,179731,288579,117887,117973,1
135,80771,4642,117961,118225,120551,117905,117906,290919,118279,1
136,3853,7212,117961,117962,124725,124194,301475,118363,118899,1
137,33329,4500,117961,118225,119181,118321,117906,290919,118322,1
138,45207,48935,118990,119063,118754,118321,117906,118474,118322,1
139,27416,16971,117961,118327,120299,122551,123475,118762,125795,1
140,38372,8430,117961,118327,118403,117905,118756,270488,117908,1
141,36926,15412,117961,118327,127705,119849,144429,118638,119851,1
142,74883,4924,117961,118300,120312,118054,144434,117887,118055,1
143,37138,3113,117961,118343,119796,122129,127160,118424,119435,1
144,39511,14696,117876,117877,117878,117879,121756,19721,117880,1
145,25279,2395,117961,118300,117895,118054,117913,117887,118055,1
146,35444,52735,117961,118343,118458,120418,311622,118424,120008,1
147,21718,7915,117961,118386,118746,118530,227378,118424,118454,1
148,38962,15779,117961,118327,19772,118321,117906,290919,118322,1
149,25270,51740,118752,118753,120299,135123,130913,292795,119082,1
150,20281,24099,117916,118150,118599,179731,163899,117887,117973,1
151,75078,4659,117961,118052,120096,118784,147114,290919,118786,1
152,38482,3606,118169,118217,117884,117885,119008,117887,118049,1
153,18418,4551,117961,118343,119993,118321,240983,290919,118322,1
154,75443,49440,117961,118300,118631,118422,126423,117887,118425,1
155,4675,13836,119920,119921,142145,128230,302830,4673,128231,1
156,15720,15611,119280,118753,117945,280788,136634,292795,118943,1
157,45349,132529,117876,117877,117878,117905,310732,19721,117900,1
158,17308,72287,118169,126919,118042,118043,118043,270488,118046,1
159,19945,6201,117961,118225,120663,117905,117906,290919,117908,1
160,45444,50117,117961,118343,118507,121527,128634,118398,120649,1
161,39264,5496,118315,118316,118202,118278,117906,290919,117908,1
162,95390,58967,117980,118001,117878,117879,119684,19721,117880,1
163,43603,7459,5110,117954,122672,118685,223708,308574,118687,1
164,20364,52902,118595,118596,119076,118826,216197,118424,118836,1
165,927,15389,117961,118343,119993,126184,128532,118643,124888,1
166,25328,53223,117876,117877,117878,117879,117879,19721,117880,1
